,List of Abbreviations ,,
ASSOCHAM,The Associated Chambers of Commerce and Industry of India,,
ASTO,Association of Sea Training Organizations,,
DAP,Diammonium Phosphate (Urea),,
CENVAT,Central Value Added Tax,,
GDR,Global Depositary Receipt,,
MRPL,Mangalore Refineries & Petrochemicals Limited,,
APM,Administered Price Mechanism,,
AICPI(IW),All India Consumer Price Index (Industrial Workers),,
ACR,Annual Confidential Report,,
BEL,Bharat Electronics Limited,,
BHEL,Bharat Heavy Electricals Limited,,
BSNL,Bharat Sanchar Nigam Limited,,
BIFR,Board for Industrial and Financial Restructuring,,
BRPSE,Board for Reconstruction of Public Sector Enterprises,,
BPE,Bureau of Public Enterprises,,
BPO,Business Process Outsourcing,,
CPS,Cash Based Profit Sharing,,
CBDT,Central Board for Direct Taxes,,
CDA,Central Dearness Allowance,,
CPC,Central Pay Commission,,
CPSE,Central Public Sector Enterprises,,
CMD,Chairman-cum-Managing Director,,
CEO,Chief Executive Officer,,
CFO,Chief Finance Officer,,
COO,Chief Operating Officer,,
CCA,City Compensatory Allowance,,
CAG,Comptroller & Auditor General of India,,
CRS,Compulsory Retirement Scheme,,
CII,Confederation of Indian Industries,,
CTC,Cost to the Company,,
DA,Dearness Allowance,,
DPS,Deferred Profit Sharing,,
DPE,Department of Public Enterprises,,
ESPP,Employee Stock Purchase Plan,,
EPS,Employees Pension Scheme,,
ESOP,Employees Stock Option Plan,,
ERP,Enterprises Resource Planning,,
FMCG,Fast Moving Consumer Goods,,
FICCI,Federation of Indian Chamber of Commerce and Industry,,
FRBM,Fiscal Responsibility and Budget Management,,
FDI,Foreign Direct Investment,,
FEMA,Foreign Exchange Management Act,,
FERA,Foreign Exchange Regulation Act,,
GAIL,Gas Authority of India Ltd,,
GDP,Gross Domestic Product,,
HoD,Head of Department,,
HPPC,High Power Pay Committee,,
HAL,Hindustan Aeronautics Limited,,
HMT,Hindustan Machine Tools,,
HRA,House Rent Allowance,,
HRD,Human Resource Development,,
IIM,Indian Institute of Management,,
IIT,Indian Institute of Technology,,
IOC,Indian Oil Corporation,,
ISM,Indian School of Mines,,
ITI,Indian Telephones Industries,,
IDA,Industrial Dearness Allowance,,
IT,Information Technology,,
ITES,Information Technology Enabled Services,,
IPE,Institute of Public Enterprises,,
IS,Industry Segment,,
ISO,International Standards Organization,,
LTC,Leave Travel Concession,,
LIC,Life Insurance Corporation of India,,
LPG,Liquefied Petroleum Gas,,
MTNL,Mahanagar Telephone Nigam Ltd,,
MOU,Memorandum of Understanding,,
M&A,Mergers & Acquisitions,,
MSTC,Metals & Scrap Trading Corporation,,
MMTC,Minerals & Metal Trading Corporation,,
MRTP,Monopolies & Restrictive Trade Practices,,
MNC,Multi National Company,,
NALCO,National Aluminium Company,,
NCMP,National Common Minimum Programme,,
NFC,National Fire College,,
NIETE,National Institute of Industrial Engineering.,,
NLC,National Labour Commission,,
NRF,National Renewal Fund,,
NSS,National Sample Survey,,
NTPC,National Thermal Power Corporation,,
NEP,New Economic Policy,,
NPA,Non Practicing Allowance,,
NRI,Non Resident Indians,,
NUS,Non Unionised Supervisors,,
OM,Office Memorandum,,
ONGC,Oil & Natural Gas Corporation,,
PRC,Pay Revision Committee,,
PMS,Performance Management System,,
PRP,Performance Related Payment,,
PF,Provident Fund,,
PDS,Public Distribution System,,
PESB,Public Enterprises Selection Board,,
PSE,Public Sector Enterprise,,
PSU,Public Sector Undertaking,,
REC (NIT),Regional Engineering College,,
R&D,Research and Development,,
SEBI,Securities Exchange Board of India,,
SS,Service Sector,,
SICA,Sick Industrial Companies Act,,
SEZ,Special Economic Zone,,
SCOPE,Standing Conference of Public Enterprises,,
SAIL,Steel Authority of India Ltd,,
SAR,Stock Appreciation Right,,
VAT,Value Added Tax,,
VP,Variable Pay,,
VER,Very Early Retirement,,
VSNL,Videsh Sanchar Nigam Ltd,,
VRS,Voluntary Retirement Scheme,,
WTO,World Trade Organisation,,
ADDA,Asansol Durgapur Development Authority,,
Addl.,Additional,,
ADM,Additional District Magistrate,,
ADR,Adverse Drug Reaction,,
ADSR,Additional District Sub-Registrar,,
AE,Assistant Engineer,,
AG,Accountant General,,
AMC,ADR Monitoring Centre,,
AMC,Asansol Municipal Corporation,,
ASHA,Accredited Social Health Assistant,,
Asstt.,Assistant,,
AT,Assistant Teacher,,
B.Ed,Bachelor of Education,,
B.T.,Bachelor of Training,,
BCP,Business Continuity Plan,,
BDA,Burdwan Development Authority,,
BDO,Block Development Officer,,
BFHCPL,Bengal-Faith Health Care Private Limited,,
BL& LRO,Block Land and Land Reforms Officer,,
BOOT,"Build, operate, own and transfer",,
BOQ,Bill of Quantities,,
BPA,Burdwan Planning Area,,
BPHC,Block Primary Health Centre,,
BPL,Below Poverty Line,,
CAAT,Computer Assisted Audit Technique,,
CAG,Comptroller and Auditor General,,
CARA,Central Adoption Resource Agency,,
CARINGS,Child Adoption Resource Information and Guidance System,,
CCI,Child Care Institution,,
CCL,Children in conflict with law,,
CDSCO,Central Drug Standard Control Organisation,,
CEO,Chief Executive Officer,,
CES,Consulting Engineering Services,,
CMOH,Chief Medical Officer of Health,,
CMS,Central Medical Store,,
CNCP,Children in need of care and protection,,
CONFED,West Bengal Consumers Co-operative Federation Limited,,
CPCs,Child Protection Committees,,
CRZ,Coastal Regulation Zone,,
CSA,Common Services Area,,
.csv,Comma Separated Value,,
CWC,Child Welfare Committee,,
CWPO,Child Welfare Police Officer,,
CWSN,Children With Special Needs,,
D & C,Drugs & Cosmetics,,
DBA,Database Administrator,,
DCC,Drug Consultative Committee,,
DCFS,Divisional Controller of Food & Supplies,,
DCG,Director of Consumer Goods,,
DCPU,District Child Protection Units,,
DCR,Duplicate Carbon Receipt,,
DDC,Directorate of Drug Control,,
DDO,Drawing & Disbursing Officer,,
DGRCs,District Grievances Redressal Committees,,
DH,District Hospital,,
DKMs,District Key Managers,,
DM,District Magistrate,,
DMC,Durgapur Municipal Corporation,,
DNOs,District Nodal Officers,,
DPC,"Duties, Powers and Conditions of Service",,
DPO,District Programme Officer,,
DPR,Detailed Project Report,,
DSDA,Digha Sankarpur Development Authority,,
Dy.,Deputy,,
EE,Executive Engineer,,
EO,Executive Officer,,
EWS,Economically Weaker Sections,,
FC,Forest Conservation,,
FCI,Food Corporation of India,,
FIR,First Information Report,,
FKOs,Field Key Officers,,
FMPS,Fair Price Medicine Shops,,
G&SS,General and Social Sector,,
GB,General Banner,,
GMP,Good Manufacturing Practices,,
GoI,Government of India,,
GoWB,Government of West Bengal,,
GP,Gram Panchayat,,
H&FW,Health & Family Welfare,,
HM,Headmaster,,
HS,Higher Secondary,,
HSR,Home Study Report,,
ICDS,Integrated Child Development Scheme,,
ICP,Individual Care Plan,,
ICPS,Integrated Child Protection Scheme,,
ICs,Insurance Companies,,
ICZMP,Activities under Integrated Coastal Zone Management Plan,,
IDEA,Interactive Data Extraction and Analysis,,
IEC,Information Education Communication,,
IESWM,Institute of Environmental Studies and Wetland Management,,
Inj.,Injection,,
IOC,Indian Oil Corporation,,
IOES,Integrated Online Examination System,,
IPC,Indian Pharmacopoeia Commission,,
IR,Inspection Report,,
IRC,Individual Ration Card holders,,
ISM,Indian System of Medicines,,
ISRC,Indian Society for Rehabilitation of Children,,
ISSA,Indian Society for Sponsorship and Adoption,,
IT,Information Technology,,
JJ,Juvenile Justice,,
JJB,Juvenile Justice Board,,
JNNURM,Jawaharlal Nehru Urban Renewal Mission,,
KL.,Kilo Litre,,
KMDA,Kolkata Metropolitan Development Authority,,
LCPO,Legal-cum-Probation Officer,,
LED,Light-emitting Diode,,
LPG,Liquified Petroleum Gas,,
LUDCP,Land Use & Development Control Plan,,
MCCC,Mother and Child Care Centre,,
MCH,Medical College & Hospital,,
MGNREGA,Mahatma Gandhi National Rural Employment Guarantee Act,,
MGNREGS,Mahatma Gandhi National Rural Employment Guarantee Scheme,,
MiC,Minister-in-Charge,,
MoA,Memorandum of Agreement,,
MoP,Memorandum of Payment,,
MoU,Memorandum of Understanding,,
MSK,Madrasah Shiksha Kendra,,
MSVP,Medical Superintendent-cum-Vice Principal,,
MSW,Municipal Solid Wastes,,
MWCD,Ministry of Women and Child Development,,
NABL,National Accreditation Board for Testing and Calibration of Laboratories,,
NaNO,National Nodal Officer,,
NGO,Non-Government Organisations,,
NGRC,National Grievances Redressal Committee,,
NH,National Highway,,
